epoch,value,date_time
1584628200.0,1.5,2020-03-19 07:30:00-07:00
1584654300.0,2.0,2020-03-19 14:45:00-07:00
1584662400.0,2.0,2020-03-19 17:00:00-07:00
1584676800.0,2.0,2020-03-19 21:00:00-07:00
1584702000.0,1.5,2020-03-20 04:00:00-07:00
1584721800.0,2.0,2020-03-20 09:30:00-07:00
1584741600.0,3.0,2020-03-20 15:00:00-07:00
1584801000.0,1.5,2020-03-21 07:30:00-07:00
1584817200.0,2.0,2020-03-21 12:00:00-07:00
1584828000.0,4.0,2020-03-21 15:00:00-07:00
1584862200.0,0.5,2020-03-22 00:30:00-07:00
1584887400.0,1.5,2020-03-22 07:30:00-07:00
1584916200.0,2.0,2020-03-22 15:30:00-07:00
1584921600.0,1.0,2020-03-22 17:00:00-07:00
1584932400.0,2.0,2020-03-22 20:00:00-07:00
1584979200.0,2.0,2020-03-23 09:00:00-07:00
1584995400.0,2.0,2020-03-23 13:30:00-07:00
1585002600.0,2.0,2020-03-23 15:30:00-07:00
1585027800.0,1.5,2020-03-23 22:30:00-07:00
1585062000.0,1.5,2020-03-24 08:00:00-07:00
1585072800.0,2.0,2020-03-24 11:00:00-07:00
1585089000.0,2.0,2020-03-24 15:30:00-07:00
1585096200.0,1.0,2020-03-24 17:30:00-07:00
1585112400.0,0.5,2020-03-24 22:00:00-07:00
1585148400.0,1.5,2020-03-25 08:00:00-07:00
1585161900.0,2.0,2020-03-25 11:45:00-07:00
1585175400.0,2.0,2020-03-25 15:30:00-07:00
1585195200.0,2.0,2020-03-25 21:00:00-07:00
1585234800.0,1.5,2020-03-26 08:00:00-07:00
1585242000.0,2.0,2020-03-26 10:00:00-07:00
1585264500.0,2.0,2020-03-26 16:15:00-07:00
1585279800.0,2.0,2020-03-26 20:30:00-07:00
1585321200.0,1.0,2020-03-27 08:00:00-07:00
1585328400.0,2.0,2020-03-27 10:00:00-07:00
1585366200.0,2.5,2020-03-27 20:30:00-07:00
1585407600.0,2.0,2020-03-28 08:00:00-07:00
1585414800.0,1.0,2020-03-28 10:00:00-07:00
1585441800.0,2.0,2020-03-28 17:30:00-07:00
1585452600.0,2.0,2020-03-28 20:30:00-07:00
1585494000.0,1.5,2020-03-29 08:00:00-07:00
1585503000.0,1.5,2020-03-29 10:30:00-07:00
1585513800.0,1.0,2020-03-29 13:30:00-07:00
1585521000.0,2.0,2020-03-29 15:30:00-07:00
1585522800.0,1.0,2020-03-29 16:00:00-07:00
1585544400.0,1.0,2020-03-29 22:00:00-07:00
1585580400.0,1.5,2020-03-30 08:00:00-07:00
1585587600.0,2.0,2020-03-30 10:00:00-07:00
1585606500.0,2.0,2020-03-30 15:15:00-07:00
1585622700.0,2.5,2020-03-30 19:45:00-07:00
1585648800.0,1.5,2020-03-31 03:00:00-07:00
1585674000.0,2.0,2020-03-31 10:00:00-07:00
1585691100.0,2.0,2020-03-31 14:45:00-07:00
1585729800.0,1.5,2020-04-01 01:30:00-07:00
1585753200.0,1.5,2020-04-01 08:00:00-07:00
1585764000.0,2.0,2020-04-01 11:00:00-07:00
1585780200.0,2.0,2020-04-01 15:30:00-07:00
1585800900.0,1.5,2020-04-01 21:15:00-07:00
1585839600.0,1.5,2020-04-02 08:00:00-07:00
1585846800.0,2.0,2020-04-02 10:00:00-07:00
1585864800.0,2.0,2020-04-02 15:00:00-07:00
1585886400.0,1.5,2020-04-02 21:00:00-07:00
1585926000.0,1.5,2020-04-03 08:00:00-07:00
1585935900.0,2.0,2020-04-03 10:45:00-07:00
1585948200.0,2.0,2020-04-03 14:10:00-07:00
1585960200.0,4.0,2020-04-03 17:30:00-07:00
1585962000.0,4.0,2020-04-03 18:00:00-07:00
1585963800.0,4.0,2020-04-03 18:30:00-07:00
1586036700.0,2.0,2020-04-04 14:45:00-07:00
1586100600.0,1.5,2020-04-05 08:30:00-07:00
1586111400.0,2.0,2020-04-05 11:30:00-07:00
1586125800.0,2.0,2020-04-05 15:30:00-07:00
1586146500.0,1.5,2020-04-05 21:15:00-07:00
1586176200.0,1.5,2020-04-06 05:30:00-07:00
1586188800.0,2.0,2020-04-06 09:00:00-07:00
1586210400.0,2.0,2020-04-06 15:00:00-07:00
1586271600.0,1.5,2020-04-07 08:00:00-07:00
1586281500.0,2.0,2020-04-07 10:45:00-07:00
1586317500.0,3.0,2020-04-07 20:45:00-07:00
1586358000.0,1.5,2020-04-08 08:00:00-07:00
1586420100.0,1.5,2020-04-09 01:15:00-07:00
1586421900.0,2.9,2020-04-09 01:45:00-07:00
1586444400.0,1.5,2020-04-09 08:00:00-07:00
1586484000.0,2.1,2020-04-09 19:00:00-07:00
1586522700.0,1.5,2020-04-10 05:45:00-07:00
1586536200.0,2.0,2020-04-10 09:30:00-07:00
1586577600.0,7.0,2020-04-10 21:00:00-07:00
1586617200.0,1.5,2020-04-11 08:00:00-07:00
1586630700.0,2.0,2020-04-11 11:45:00-07:00
1586646000.0,2.0,2020-04-11 16:00:00-07:00
1586664000.0,1.5,2020-04-11 21:00:00-07:00
1586692800.0,1.5,2020-04-12 05:00:00-07:00
1586707200.0,2.0,2020-04-12 09:00:00-07:00
